time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0.0,39.25,0.43,22.75,0.43,33.75,1.3,bending1
250.0,39.25,0.43,23.0,0.0,33.0,0.0,bending1
500.0,39.25,0.43,23.25,0.43,33.0,0.0,bending1
750.0,39.5,0.5,23.0,0.71,33.0,0.0,bending1
1000.0,39.5,0.5,24.0,0.0,33.0,0.0,bending1
1250.0,39.25,0.43,24.0,0.0,33.0,0.0,bending1
1500.0,39.25,0.43,24.0,0.0,33.0,0.0,bending1
1750.0,39.0,0.0,23.75,0.43,33.0,0.0,bending1
2000.0,39.5,0.5,24.0,0.0,33.0,0.0,bending1
2250.0,39.5,0.5,23.0,0.0,33.0,0.0,bending1
2500.0,39.5,0.5,23.25,0.43,33.0,0.0,bending1
2750.0,39.5,0.5,23.5,0.5,32.75,0.43,bending1
3000.0,39.5,0.5,23.75,0.43,32.5,0.5,bending1
3250.0,39.67,0.47,23.75,0.43,33.0,0.0,bending1
3500.0,39.5,0.5,24.0,0.0,33.0,0.0,bending1
3750.0,39.5,0.5,23.25,0.43,33.0,0.0,bending1
4000.0,39.5,0.5,22.5,0.5,33.0,0.0,bending1
4250.0,39.5,0.5,22.0,0.71,33.0,0.0,bending1
4500.0,40.25,0.83,21.0,0.0,33.0,0.0,bending1
4750.0,40.5,0.5,18.67,1.7,33.0,0.0,bending1
5000.0,40.67,0.47,15.5,0.87,33.0,0.0,bending1
5250.0,40.5,0.5,15.0,0.0,33.0,0.0,bending1
5500.0,40.5,0.5,15.0,0.0,33.0,0.0,bending1
5750.0,40.33,0.47,16.0,0.0,33.0,0.0,bending1
6000.0,40.5,0.5,16.0,0.71,33.0,0.0,bending1
6250.0,40.5,0.5,16.5,0.87,33.0,0.0,bending1
6500.0,40.5,0.5,17.5,0.87,33.0,0.0,bending1
6750.0,40.5,0.5,19.75,1.09,33.75,1.3,bending1
7000.0,40.75,0.83,21.0,0.0,33.0,0.0,bending1
7250.0,40.75,0.83,21.0,0.0,33.0,0.0,bending1
7500.0,41.0,1.0,20.75,0.43,33.75,1.3,bending1
7750.0,41.0,1.0,19.67,0.47,34.0,1.41,bending1
8000.0,40.75,0.83,19.25,0.43,33.75,1.3,bending1
8250.0,40.67,0.47,19.75,0.43,34.0,1.41,bending1
8500.0,41.0,0.82,19.0,0.71,35.0,1.41,bending1
8750.0,41.0,0.89,17.75,1.09,34.2,1.47,bending1
9000.0,41.5,0.5,18.0,0.0,33.0,0.0,bending1
9250.0,41.67,0.47,19.5,0.5,33.75,1.3,bending1
9500.0,41.25,0.83,20.25,0.43,34.25,1.3,bending1
9750.0,41.0,0.82,20.33,0.47,33.75,1.3,bending1
10000.0,41.5,0.5,21.0,0.0,33.75,1.3,bending1
10250.0,41.5,0.5,19.25,1.3,33.0,0.0,bending1
10500.0,41.5,0.5,17.75,0.83,34.5,1.5,bending1
10750.0,41.5,0.5,19.0,0.71,35.25,1.3,bending1
11000.0,41.5,0.5,15.5,2.18,33.0,0.0,bending1
11250.0,41.75,0.43,15.0,0.0,33.5,0.87,bending1
11500.0,41.75,0.43,14.75,0.43,33.0,0.0,bending1
11750.0,41.75,0.43,11.75,0.43,33.75,1.3,bending1
12000.0,41.75,0.43,13.75,1.09,34.5,1.5,bending1
12250.0,41.5,0.5,13.5,1.5,33.75,1.3,bending1
12500.0,41.5,0.5,13.33,1.25,33.0,0.0,bending1
12750.0,41.5,0.5,16.25,1.3,33.0,0.0,bending1
13000.0,41.75,0.43,17.75,0.43,32.5,0.5,bending1
13250.0,41.75,0.43,16.0,0.71,33.0,0.0,bending1
13500.0,42.0,0.0,15.0,1.0,33.0,0.0,bending1
13750.0,42.0,0.0,13.5,1.12,33.0,0.0,bending1
14000.0,41.75,0.43,13.0,1.22,33.0,0.0,bending1
14250.0,41.75,0.43,13.25,1.09,33.0,0.0,bending1
14500.0,41.5,0.5,12.25,0.43,33.0,0.0,bending1
14750.0,41.67,0.47,13.0,1.0,33.0,0.0,bending1
15000.0,41.5,0.5,12.5,0.87,33.0,0.0,bending1
15250.0,41.5,0.5,14.5,0.5,32.75,0.43,bending1
15500.0,41.33,0.47,14.67,2.49,33.75,1.3,bending1
15750.0,41.5,0.5,17.5,1.5,33.0,0.0,bending1
16000.0,41.5,0.5,16.5,1.12,33.75,1.3,bending1
16250.0,41.75,0.43,15.25,1.09,33.0,0.0,bending1
16500.0,42.0,0.0,15.75,0.83,33.0,0.0,bending1
16750.0,41.75,0.43,15.75,0.43,33.0,0.0,bending1
17000.0,42.0,0.0,15.0,0.0,33.0,0.0,bending1
17250.0,41.75,0.43,15.33,0.47,33.0,0.0,bending1
17500.0,42.0,0.0,4.0,0.0,33.0,0.0,bending1
17750.0,41.75,0.43,9.5,1.8,33.0,0.0,bending1
18000.0,42.0,0.0,10.67,0.47,33.0,0.0,bending1
18250.0,41.5,0.5,13.0,1.0,33.75,1.3,bending1
18500.0,41.5,0.5,9.0,2.16,33.0,0.0,bending1
18750.0,41.75,0.43,13.5,0.87,33.0,0.0,bending1
19000.0,42.0,0.0,13.5,7.23,33.0,0.0,bending1
19250.0,41.75,0.43,10.0,3.08,33.0,0.0,bending1
19500.0,41.67,0.47,16.33,2.62,33.75,1.3,bending1
19750.0,42.0,0.0,13.5,0.87,33.0,0.0,bending1
20000.0,41.75,0.43,13.0,0.71,33.0,0.0,bending1
20250.0,42.0,0.0,9.25,2.68,33.0,0.0,bending1
20500.0,42.0,0.0,13.75,2.17,33.0,0.0,bending1
20750.0,42.0,0.0,18.0,1.22,33.75,1.3,bending1
21000.0,42.0,0.0,18.25,0.43,35.25,1.3,bending1
21250.0,42.0,0.0,18.0,0.0,36.0,0.0,bending1
21500.0,42.0,0.0,17.0,0.82,36.0,0.0,bending1
21750.0,42.0,0.0,16.0,0.71,33.75,1.3,bending1
22000.0,42.0,0.0,16.5,1.12,35.0,1.41,bending1
22250.0,42.0,0.0,15.75,0.83,33.75,1.3,bending1
22500.0,42.0,0.0,18.0,0.0,33.75,1.3,bending1
22750.0,42.0,0.0,18.0,0.0,34.75,1.09,bending1
23000.0,42.0,0.0,18.0,0.0,35.0,1.22,bending1
23250.0,42.0,0.0,18.0,0.0,34.5,1.5,bending1
23500.0,42.0,0.0,18.0,0.0,33.67,0.94,bending1
23750.0,42.0,0.0,19.5,0.5,35.25,1.3,bending1
24000.0,42.0,0.0,18.0,0.0,35.75,0.43,bending1
24250.0,42.0,0.0,18.0,0.0,35.0,1.41,bending1
24500.0,42.0,0.0,18.0,0.0,35.0,1.41,bending1
24750.0,42.0,0.0,18.0,0.0,35.25,1.3,bending1
25000.0,42.0,0.0,18.0,0.0,36.0,0.0,bending1
25250.0,42.0,0.0,18.75,0.83,35.25,1.3,bending1
25500.0,42.0,0.0,20.25,0.43,35.0,1.22,bending1
25750.0,42.0,0.0,20.25,0.43,34.25,1.3,bending1
26000.0,42.0,0.0,19.5,0.5,35.75,0.43,bending1
26250.0,42.0,0.0,18.75,0.43,35.0,1.22,bending1
26500.0,42.0,0.0,18.0,0.0,35.0,1.41,bending1
26750.0,42.0,0.0,18.0,0.0,34.0,1.41,bending1
27000.0,42.0,0.0,18.0,0.0,35.25,1.3,bending1
27250.0,42.0,0.0,18.0,0.0,35.25,1.3,bending1
27500.0,42.0,0.0,18.0,0.0,35.25,1.3,bending1
27750.0,42.0,0.0,17.75,0.43,36.0,0.0,bending1
28000.0,42.33,0.47,17.5,0.5,35.0,1.41,bending1
28250.0,42.0,0.0,17.67,0.47,36.0,0.0,bending1
28500.0,42.0,0.0,18.0,0.0,35.25,1.3,bending1
28750.0,42.0,0.0,18.0,0.0,34.5,1.5,bending1
29000.0,42.0,0.0,19.0,0.71,33.75,1.3,bending1
29250.0,42.0,0.0,20.0,0.0,33.75,1.3,bending1
29500.0,42.0,0.0,20.0,0.71,35.0,1.22,bending1
29750.0,42.0,0.0,19.0,0.0,33.67,0.94,bending1
30000.0,42.0,0.0,20.4,0.8,35.4,1.2,bending1
30250.0,42.0,0.0,21.0,0.0,36.0,0.0,bending1
30500.0,42.0,0.0,20.6,0.49,35.4,1.2,bending1
30750.0,42.0,0.0,19.33,0.47,34.0,1.41,bending1
31000.0,42.0,0.0,19.5,0.5,35.75,0.43,bending1
31250.0,42.0,0.0,19.75,0.43,35.0,1.41,bending1
31500.0,42.0,0.0,19.5,0.5,34.5,1.5,bending1
31750.0,42.0,0.0,20.5,0.5,33.75,1.3,bending1
32000.0,42.0,0.0,20.67,0.47,34.5,1.5,bending1
32250.0,42.0,0.0,20.25,0.43,34.5,1.5,bending1
32500.0,42.0,0.0,20.0,0.0,35.25,1.3,bending1
32750.0,42.0,0.0,19.75,0.43,33.75,1.3,bending1
33000.0,42.0,0.0,19.25,0.43,35.25,1.3,bending1
33250.0,42.0,0.0,19.0,0.0,36.0,0.0,bending1
33500.0,42.0,0.0,18.5,0.5,35.25,1.3,bending1
33750.0,42.0,0.0,18.75,0.43,35.25,1.3,bending1
34000.0,42.0,0.0,20.0,0.0,36.0,0.0,bending1
34250.0,42.0,0.0,20.33,0.47,35.33,0.94,bending1
34500.0,42.0,0.0,21.0,0.0,35.0,1.41,bending1
34750.0,42.0,0.0,21.0,0.0,35.0,1.22,bending1
35000.0,42.0,0.0,21.0,0.0,34.5,1.5,bending1
35250.0,42.0,0.0,21.0,0.0,35.25,1.3,bending1
35500.0,42.0,0.0,20.5,0.5,35.0,1.41,bending1
35750.0,42.0,0.0,21.0,0.0,36.0,0.0,bending1
36000.0,42.0,0.0,20.5,0.5,36.0,0.0,bending1
36250.0,42.0,0.0,20.25,0.43,34.75,1.3,bending1
36500.0,42.0,0.0,19.75,0.43,36.0,0.0,bending1
36750.0,42.0,0.0,19.5,0.5,35.25,1.3,bending1
37000.0,42.0,0.0,19.75,0.43,36.0,0.0,bending1
37250.0,42.0,0.0,19.5,0.5,35.25,1.3,bending1
37500.0,42.0,0.0,20.0,0.71,36.0,0.0,bending1
37750.0,42.0,0.0,20.0,0.0,36.0,0.0,bending1
38000.0,42.0,0.0,19.33,0.47,35.0,1.41,bending1
38250.0,42.0,0.0,21.0,0.0,33.0,0.0,bending1
38500.0,41.0,1.22,22.5,1.12,33.5,0.87,bending1
38750.0,39.0,0.82,24.0,0.0,33.0,0.0,bending1
39000.0,39.0,0.0,24.0,0.0,33.0,0.0,bending1
39250.0,39.0,0.0,24.0,0.0,33.0,0.0,bending1
39500.0,39.0,0.0,24.0,0.0,35.75,0.43,bending1
39750.0,38.75,0.43,24.0,0.0,35.25,1.3,bending1
40000.0,38.75,0.43,24.0,0.0,35.25,1.3,bending1
40250.0,38.5,0.5,24.0,0.0,33.75,1.3,bending1
40500.0,38.5,0.5,24.0,0.0,33.75,1.3,bending1
40750.0,38.0,1.0,24.0,0.0,33.0,0.0,bending1
41000.0,38.25,0.83,24.0,0.0,34.0,1.41,bending1
41250.0,38.5,0.5,24.0,0.0,34.0,1.41,bending1
41500.0,38.5,0.5,24.0,0.0,36.0,0.0,bending1
41750.0,38.67,0.47,24.0,0.0,35.0,1.41,bending1
42000.0,38.75,0.43,24.0,0.0,36.0,0.0,bending1
42250.0,38.5,0.5,24.75,0.43,35.25,1.3,bending1
42500.0,38.33,0.47,25.67,0.94,33.0,0.0,bending1
42750.0,38.75,0.43,24.0,0.0,33.75,1.3,bending1
43000.0,39.0,0.0,19.25,1.64,36.0,0.0,bending1
43250.0,39.0,0.0,17.75,0.43,35.25,1.3,bending1
43500.0,39.5,0.5,15.25,1.79,36.0,0.0,bending1
43750.0,41.25,0.43,15.0,0.71,36.0,0.0,bending1
44000.0,41.75,0.43,16.0,0.0,36.0,0.0,bending1
44250.0,41.25,0.83,14.75,0.43,36.0,0.0,bending1
44500.0,41.5,0.5,14.25,0.43,36.0,0.0,bending1
44750.0,41.25,0.83,15.5,0.5,35.25,0.83,bending1
45000.0,41.25,0.83,16.0,0.0,34.5,1.5,bending1
45250.0,41.0,1.0,16.0,0.0,35.25,1.3,bending1
45500.0,41.5,0.5,15.25,0.43,36.0,0.0,bending1
45750.0,41.25,0.83,16.0,0.0,36.0,0.0,bending1
46000.0,41.0,1.0,16.0,0.0,36.0,0.0,bending1
46250.0,40.5,0.5,16.0,0.0,36.0,0.0,bending1
46500.0,41.0,1.0,16.0,0.0,36.0,0.0,bending1
46750.0,40.67,0.47,16.0,0.0,36.0,0.0,bending1
47000.0,40.5,0.5,16.0,0.0,36.0,0.0,bending1
47250.0,40.75,0.83,16.25,0.43,36.0,0.0,bending1
47500.0,40.67,0.94,16.0,0.0,36.0,0.0,bending1
47750.0,40.5,0.5,16.0,0.0,36.0,0.0,bending1
48000.0,40.5,0.5,15.67,0.47,36.0,0.0,bending1
48250.0,40.5,0.5,16.0,0.0,36.0,0.0,bending1
48500.0,40.75,0.83,16.0,0.0,36.0,0.0,bending1
48750.0,41.0,1.0,17.0,0.0,36.0,0.0,bending1
49000.0,40.75,0.83,17.0,0.0,36.0,0.0,bending1
49250.0,40.75,0.83,17.0,0.0,36.0,0.0,bending1
49500.0,40.5,0.5,17.0,0.0,36.0,0.0,bending1
49750.0,40.5,0.5,16.75,0.43,36.0,0.0,bending1
50000.0,40.5,0.5,17.0,0.0,36.0,0.0,bending1
